nursery,higher,internet,romantic,G3
yes,yes,yes,no,13
no,yes,yes,yes,15
yes,yes,yes,no,11
yes,yes,yes,no,12
no,yes,no,yes,10
yes,yes,no,yes,10
yes,yes,yes,yes,15
no,yes,yes,no,15
yes,yes,yes,no,12
no,yes,yes,yes,12
yes,yes,no,no,14
yes,yes,yes,no,14
yes,yes,yes,yes,15
yes,yes,yes,no,15
yes,yes,yes,no,16
yes,yes,yes,no,13
yes,yes,yes,yes,17
yes,yes,yes,yes,14
yes,yes,yes,no,14
yes,yes,yes,yes,17
yes,yes,yes,yes,17
yes,yes,yes,yes,14
yes,yes,yes,yes,13
yes,yes,yes,yes,15
yes,yes,yes,no,16
yes,no,yes,no,11
yes,yes,yes,yes,13
yes,yes,yes,no,12
no,no,yes,no,12
yes,yes,yes,yes,15
yes,yes,yes,no,17
yes,yes,yes,no,15
yes,yes,yes,no,17
yes,no,yes,yes,10
yes,yes,yes,yes,15
yes,yes,yes,yes,11
yes,yes,yes,no,18
yes,yes,yes,yes,17
yes,yes,yes,no,14
yes,yes,yes,no,11
yes,yes,yes,no,17
yes,yes,yes,yes,10
no,yes,yes,yes,13
yes,no,yes,yes,11
yes,yes,yes,no,12
yes,yes,no,yes,10
yes,yes,yes,no,11
yes,yes,no,no,17
yes,no,no,no,9
yes,yes,no,no,11
yes,yes,yes,no,11
yes,yes,no,yes,10
no,no,yes,no,7
yes,yes,yes,yes,14
no,no,no,yes,11
yes,yes,yes,no,10
yes,yes,yes,yes,8
yes,yes,no,no,12
yes,yes,yes,no,12
no,yes,yes,no,16
yes,yes,no,yes,0
no,yes,yes,no,9
yes,yes,yes,no,14
yes,yes,yes,no,8
no,yes,no,no,11
yes,yes,no,yes,9
yes,yes,yes,no,11
yes,no,no,yes,9
yes,yes,yes,yes,17
yes,yes,no,no,13
yes,yes,yes,no,15
yes,yes,no,no,11
yes,yes,yes,no,11
yes,yes,no,no,8
yes,yes,no,no,8
no,yes,yes,no,9
no,yes,no,yes,15
yes,yes,yes,no,11
no,yes,yes,no,13
yes,yes,no,no,10
yes,yes,yes,no,11
yes,yes,yes,yes,14
yes,yes,no,no,14
yes,yes,no,no,12
yes,yes,no,no,11
yes,yes,yes,yes,8
yes,yes,no,no,11
yes,yes,yes,no,14
yes,yes,no,no,13
yes,yes,no,yes,13
yes,yes,yes,yes,12
no,yes,no,no,12
yes,yes,no,yes,16
yes,yes,yes,no,10
yes,yes,yes,no,11
yes,yes,no,no,14
yes,yes,yes,yes,8
no,yes,yes,no,11
yes,yes,no,no,8
yes,no,no,no,10
yes,no,yes,yes,10
yes,no,no,yes,11
yes,no,no,yes,9
yes,no,yes,no,11
yes,no,no,no,8
yes,yes,yes,no,11
no,yes,yes,no,10
no,no,no,yes,10
yes,no,no,yes,9
yes,no,yes,no,10
no,no,yes,yes,10
yes,yes,yes,yes,9
no,yes,no,yes,10
no,yes,no,no,10
yes,no,yes,no,9
yes,no,yes,yes,13
yes,yes,yes,yes,14
yes,yes,no,no,10
yes,yes,yes,no,14
yes,yes,no,yes,16
yes,no,yes,yes,7
yes,yes,yes,no,13
yes,yes,no,no,9
yes,yes,yes,no,14
yes,yes,yes,yes,13
no,yes,yes,yes,11
yes,yes,yes,yes,10
yes,yes,no,yes,10
no,yes,yes,no,9
yes,yes,no,no,18
yes,yes,no,no,17
yes,yes,yes,yes,10
yes,yes,yes,yes,7
yes,yes,yes,no,8
yes,yes,yes,no,7
yes,yes,no,no,10
no,yes,yes,yes,16
yes,yes,yes,no,15
yes,yes,yes,no,8
yes,yes,yes,no,0
yes,yes,yes,no,8
yes,yes,yes,no,10
yes,yes,yes,yes,8
yes,no,yes,yes,6
no,yes,no,no,8
yes,yes,yes,no,16
yes,yes,yes,yes,14
yes,yes,no,no,10
yes,yes,yes,no,9
yes,yes,no,no,11
yes,yes,yes,no,9
yes,yes,yes,yes,10
no,yes,yes,yes,8
yes,yes,yes,yes,16
yes,yes,yes,no,12
yes,yes,no,no,10
yes,yes,no,no,14
yes,yes,yes,no,12
no,yes,no,yes,11
yes,yes,yes,no,10
yes,yes,no,yes,11
yes,yes,no,no,11
yes,yes,yes,yes,12
yes,yes,yes,yes,8
yes,yes,no,yes,12
no,yes,yes,yes,8
yes,yes,yes,no,16
yes,yes,yes,no,11
yes,yes,yes,yes,11
no,yes,yes,no,18
no,yes,yes,yes,13
yes,yes,yes,no,13
yes,no,yes,no,10
yes,yes,no,yes,12
yes,no,yes,yes,10
no,yes,yes,yes,13
yes,yes,no,no,11
no,yes,yes,yes,10
yes,no,no,yes,10
yes,yes,no,no,13
no,yes,yes,yes,10
yes,yes,no,no,10
yes,yes,no,yes,12
yes,yes,no,yes,0
yes,yes,yes,no,10
yes,yes,yes,no,9
yes,no,yes,yes,9
yes,no,yes,no,0
yes,yes,no,no,9
yes,no,yes,no,8
yes,yes,yes,yes,8
no,no,yes,yes,9
yes,yes,no,yes,7
yes,yes,no,no,10
yes,no,yes,yes,10
yes,yes,yes,no,10
no,yes,yes,no,11
yes,yes,yes,no,11
yes,yes,yes,no,10
yes,no,yes,yes,9
yes,yes,yes,no,10
yes,yes,no,no,8
yes,no,no,no,7
yes,no,yes,yes,0
yes,yes,yes,no,11
yes,no,no,no,8
yes,yes,yes,no,0
yes,yes,yes,no,8
yes,yes,no,yes,9
yes,yes,yes,no,10
yes,yes,no,yes,7
no,yes,yes,no,14
yes,yes,yes,no,13
yes,yes,yes,no,14
no,yes,yes,no,18
yes,yes,yes,no,17
yes,yes,yes,no,18
yes,yes,no,yes,0
no,yes,no,no,11
yes,yes,yes,yes,14
no,no,no,no,14
no,yes,yes,yes,10
yes,yes,yes,yes,13
yes,yes,yes,yes,0
yes,no,no,no,10
yes,no,no,no,0
yes,yes,yes,yes,18
yes,yes,yes,yes,12
yes,yes,no,yes,11
yes,no,no,no,12
yes,no,no,yes,0
yes,yes,yes,yes,15
no,yes,yes,yes,11
yes,yes,no,yes,10
yes,yes,yes,no,12
yes,yes,no,yes,15
no,yes,yes,yes,14
yes,yes,yes,no,18
yes,yes,no,yes,15
yes,yes,yes,yes,13
yes,yes,yes,yes,15
no,yes,no,no,13
yes,yes,no,no,9
yes,yes,yes,yes,16
yes,yes,yes,yes,9
yes,yes,yes,yes,10
no,yes,yes,yes,0
yes,no,yes,yes,10
yes,yes,no,yes,12
yes,yes,yes,no,9
yes,yes,yes,no,17
yes,yes,yes,no,12
yes,yes,yes,yes,9
yes,yes,yes,no,14
yes,yes,yes,yes,16
no,yes,yes,no,9
no,yes,yes,no,19
no,yes,yes,yes,0
yes,yes,yes,no,16
yes,yes,no,no,0
yes,yes,no,no,0
yes,yes,no,no,15
yes,yes,yes,no,11
yes,yes,yes,yes,10
no,yes,yes,no,10
yes,yes,yes,no,16
yes,yes,no,no,9
no,yes,yes,no,10
no,yes,yes,no,11
